Time,trump: (United States),kamala harris: (United States),election: (United States)
2025-09-15T18:36:00-05:00,82,1,8
2025-09-15T18:44:00-05:00,89,1,9
2025-09-15T18:52:00-05:00,79,1,9
2025-09-15T19:00:00-05:00,79,1,9
2025-09-15T19:08:00-05:00,79,2,9
2025-09-15T19:16:00-05:00,78,2,9
2025-09-15T19:24:00-05:00,81,1,9
2025-09-15T19:32:00-05:00,79,2,9
2025-09-15T19:40:00-05:00,83,2,8
2025-09-15T19:48:00-05:00,84,2,9
2025-09-15T19:56:00-05:00,88,2,8
2025-09-15T20:04:00-05:00,86,2,8
2025-09-15T20:12:00-05:00,79,2,9
2025-09-15T20:20:00-05:00,87,2,8
2025-09-15T20:28:00-05:00,87,2,9
2025-09-15T20:36:00-05:00,91,2,9
2025-09-15T20:44:00-05:00,89,1,8
2025-09-15T20:52:00-05:00,85,2,9
2025-09-15T21:00:00-05:00,92,2,7
2025-09-15T21:08:00-05:00,85,2,8
2025-09-15T21:16:00-05:00,93,2,9
2025-09-15T21:24:00-05:00,87,2,9
2025-09-15T21:32:00-05:00,89,1,9
2025-09-15T21:40:00-05:00,90,2,8
2025-09-15T21:48:00-05:00,88,2,10
2025-09-15T21:56:00-05:00,92,2,8
2025-09-15T22:04:00-05:00,87,2,9
2025-09-15T22:12:00-05:00,88,2,9
2025-09-15T22:20:00-05:00,85,2,9
2025-09-15T22:28:00-05:00,84,2,9
2025-09-15T22:36:00-05:00,89,2,9
2025-09-15T22:44:00-05:00,88,2,9
2025-09-15T22:52:00-05:00,91,2,10
2025-09-15T23:00:00-05:00,88,1,9
2025-09-15T23:08:00-05:00,86,2,9
2025-09-15T23:16:00-05:00,91,2,7
2025-09-15T23:24:00-05:00,85,2,9
2025-09-15T23:32:00-05:00,87,2,9
2025-09-15T23:40:00-05:00,87,1,9
2025-09-15T23:48:00-05:00,86,2,9
2025-09-15T23:56:00-05:00,87,1,8
2025-09-16T00:04:00-05:00,87,2,7
2025-09-16T00:12:00-05:00,91,2,9
2025-09-16T00:20:00-05:00,88,2,8
2025-09-16T00:28:00-05:00,87,1,8
2025-09-16T00:36:00-05:00,83,2,10
2025-09-16T00:44:00-05:00,82,0,8
2025-09-16T00:52:00-05:00,86,2,8
2025-09-16T01:00:00-05:00,83,0,9
2025-09-16T01:08:00-05:00,86,2,8
2025-09-16T01:16:00-05:00,83,2,8
2025-09-16T01:24:00-05:00,86,2,8
2025-09-16T01:32:00-05:00,83,2,10
2025-09-16T01:40:00-05:00,82,2,8
2025-09-16T01:48:00-05:00,78,3,7
2025-09-16T01:56:00-05:00,76,0,5
2025-09-16T02:04:00-05:00,78,0,6
2025-09-16T02:12:00-05:00,76,2,8
2025-09-16T02:20:00-05:00,84,0,10
2025-09-16T02:28:00-05:00,72,3,8
2025-09-16T02:36:00-05:00,74,0,7
2025-09-16T02:44:00-05:00,72,0,9
2025-09-16T02:52:00-05:00,70,0,8
2025-09-16T03:00:00-05:00,72,0,8
2025-09-16T03:08:00-05:00,69,2,7
2025-09-16T03:16:00-05:00,82,0,8
2025-09-16T03:24:00-05:00,78,0,6
2025-09-16T03:32:00-05:00,76,0,8
2025-09-16T03:40:00-05:00,81,0,7
2025-09-16T03:48:00-05:00,83,0,8
2025-09-16T03:56:00-05:00,78,0,5
2025-09-16T04:04:00-05:00,73,0,6
2025-09-16T04:12:00-05:00,72,0,9
2025-09-16T04:20:00-05:00,85,3,8
2025-09-16T04:28:00-05:00,74,0,4
2025-09-16T04:36:00-05:00,91,0,8
2025-09-16T04:44:00-05:00,87,0,10
2025-09-16T04:52:00-05:00,87,0,11
2025-09-16T05:00:00-05:00,88,0,7
2025-09-16T05:08:00-05:00,87,2,9
2025-09-16T05:16:00-05:00,96,0,9
2025-09-16T05:24:00-05:00,86,0,9
2025-09-16T05:32:00-05:00,100,2,9
2025-09-16T05:40:00-05:00,92,0,11
2025-09-16T05:48:00-05:00,96,0,9
2025-09-16T05:56:00-05:00,94,1,9
2025-09-16T06:04:00-05:00,88,1,11
2025-09-16T06:12:00-05:00,89,1,8
2025-09-16T06:20:00-05:00,92,2,9
2025-09-16T06:28:00-05:00,87,0,10
2025-09-16T06:36:00-05:00,89,1,9
2025-09-16T06:44:00-05:00,83,1,9
2025-09-16T06:52:00-05:00,82,2,11
2025-09-16T07:00:00-05:00,80,1,9
2025-09-16T07:08:00-05:00,80,1,10
2025-09-16T07:16:00-05:00,77,1,10
2025-09-16T07:24:00-05:00,86,1,10
2025-09-16T07:32:00-05:00,78,1,11
2025-09-16T07:40:00-05:00,79,1,10
2025-09-16T07:48:00-05:00,81,1,10
2025-09-16T07:56:00-05:00,72,1,11
2025-09-16T08:04:00-05:00,73,2,10
2025-09-16T08:12:00-05:00,72,1,10
2025-09-16T08:20:00-05:00,73,1,11
2025-09-16T08:28:00-05:00,67,1,12
2025-09-16T08:36:00-05:00,70,1,10
2025-09-16T08:44:00-05:00,76,1,11
2025-09-16T08:52:00-05:00,78,1,11
2025-09-16T09:00:00-05:00,80,1,11
2025-09-16T09:08:00-05:00,84,1,12
2025-09-16T09:16:00-05:00,68,1,11
2025-09-16T09:24:00-05:00,69,1,11
2025-09-16T09:32:00-05:00,69,1,11
2025-09-16T09:40:00-05:00,64,1,9
2025-09-16T09:48:00-05:00,65,1,11
2025-09-16T09:56:00-05:00,68,1,11
2025-09-16T10:04:00-05:00,68,1,10
2025-09-16T10:12:00-05:00,63,1,10
2025-09-16T10:20:00-05:00,64,1,10
2025-09-16T10:28:00-05:00,70,2,11
2025-09-16T10:36:00-05:00,65,1,10
2025-09-16T10:44:00-05:00,63,1,10
2025-09-16T10:52:00-05:00,63,1,11
2025-09-16T11:00:00-05:00,68,1,10
2025-09-16T11:08:00-05:00,67,1,10
2025-09-16T11:16:00-05:00,66,1,11
2025-09-16T11:24:00-05:00,68,1,11
2025-09-16T11:32:00-05:00,69,1,11
2025-09-16T11:40:00-05:00,72,1,11
2025-09-16T11:48:00-05:00,68,1,11
2025-09-16T11:56:00-05:00,67,1,11
2025-09-16T12:04:00-05:00,69,1,11
2025-09-16T12:12:00-05:00,68,1,11
2025-09-16T12:20:00-05:00,66,1,11
2025-09-16T12:28:00-05:00,67,1,10
2025-09-16T12:36:00-05:00,69,1,10
2025-09-16T12:44:00-05:00,68,1,9
2025-09-16T12:52:00-05:00,65,1,11
2025-09-16T13:00:00-05:00,65,1,10
2025-09-16T13:08:00-05:00,66,1,10
2025-09-16T13:16:00-05:00,67,1,10
2025-09-16T13:24:00-05:00,64,1,10
2025-09-16T13:32:00-05:00,66,2,10
2025-09-16T13:40:00-05:00,72,1,10
2025-09-16T13:48:00-05:00,62,1,10
2025-09-16T13:56:00-05:00,66,1,10
2025-09-16T14:04:00-05:00,65,1,10
2025-09-16T14:12:00-05:00,68,1,10
2025-09-16T14:20:00-05:00,66,1,9
2025-09-16T14:28:00-05:00,67,2,10
2025-09-16T14:36:00-05:00,66,1,9
2025-09-16T14:44:00-05:00,65,1,9
2025-09-16T14:52:00-05:00,70,2,9
2025-09-16T15:00:00-05:00,72,1,9
2025-09-16T15:08:00-05:00,68,1,9
2025-09-16T15:16:00-05:00,72,1,9
2025-09-16T15:24:00-05:00,73,1,10
2025-09-16T15:32:00-05:00,69,1,9
2025-09-16T15:40:00-05:00,73,1,9
2025-09-16T15:48:00-05:00,83,1,10
2025-09-16T15:56:00-05:00,72,1,9
2025-09-16T16:04:00-05:00,72,1,9
2025-09-16T16:12:00-05:00,69,1,9
2025-09-16T16:20:00-05:00,74,1,10
2025-09-16T16:28:00-05:00,73,1,9
2025-09-16T16:36:00-05:00,80,1,9
2025-09-16T16:44:00-05:00,78,1,10
2025-09-16T16:52:00-05:00,77,1,10
2025-09-16T17:00:00-05:00,74,1,10
2025-09-16T17:08:00-05:00,78,1,10
2025-09-16T17:16:00-05:00,79,2,11
2025-09-16T17:24:00-05:00,78,1,10
2025-09-16T17:32:00-05:00,82,1,10
2025-09-16T17:40:00-05:00,91,1,10
2025-09-16T17:48:00-05:00,80,1,10
2025-09-16T17:56:00-05:00,77,1,10
2025-09-16T18:04:00-05:00,74,1,11
2025-09-16T18:12:00-05:00,76,2,11
2025-09-16T18:20:00-05:00,78,1,9
2025-09-16T18:28:00-05:00,84,1,11
2025-09-16T18:36:00-05:00,87,2,13
